Day T2,Day TC_URB,Day SNET_URB,Day LNET_URB,Day PBLH,Day UC_URB,Day GRDFLX,Day HFX,Day LH_URB,Day LH,Day LWDNB,Day LWUPB,Day QC_URB,Day SH_URB,Day SWDNB,Day SWUPB,Day TB_URB,Day TG_URB,Day TR_URB,Day TS_URB,Day RH,Day WS,Day NET_URB,Night T2,Night TC_URB,Night SNET_URB,Night LNET_URB,Night PBLH,Night UC_URB,Night GRDFLX,Night HFX,Night LH_URB,Night LH,Night LWDNB,Night LWUPB,Night QC_URB,Night SH_URB,Night SWDNB,Night SWUPB,Night TB_URB,Night TG_URB,Night TR_URB,Night TS_URB,Night RH,Night WS,Night NET_URB,Model
295.08875,305.04504,0.01127732,-0.004658709,838.3368,0.649205,-67.49855,153.79704,0,84.04839,333.9002,444.80356,0.009931009,182.2272,584.98126,108.919304,310.2649,317.08173,306.56128,298.50836,63.345863,2.8255546,0.006618611,291.44604,296.85776,0,-0.00253182,419.4385,0.4426917,101.681366,10.34913,0,-0.52742285,328.17395,410.8937,0.009908484,33.24471,0,0,301.678,298.01108,291.1721,293.75003,75.46524,1.87783,-0.00253182,Model_1
295.1081,305.0771,0.011318957,-0.004670017,838.8029,0.649049,-68.121895,154.10976,0,84.43648,333.74017,444.94135,0.009921689,182.62257,587.13947,109.318886,310.29745,317.14145,306.61026,298.5333,63.21325,2.825444,0.006648938,291.4366,296.84732,0,-0.002539409,419.20694,0.4431342,101.84144,10.229178,0,-0.55113024,327.71222,410.82874,0.009905419,33.11868,0,0,301.66046,297.98996,291.14914,293.75034,75.46284,1.8798184,-0.002539409,Model_2
295.07935,305.0795,0.011357595,-0.004685274,839.95526,0.6495558,-68.25182,154.93831,0,84.537315,333.2534,444.8271,0.009909685,183.38158,589.15906,109.70294,310.32083,317.187,306.61276,298.5124,63.264977,2.8275845,0.006672322,291.39722,296.82663,0,-0.002545678,420.20633,0.4435042,102.1657,10.343815,0,-0.57590514,327.31668,410.6227,0.009900716,33.28919,0,0,301.6565,297.97827,291.11084,293.71542,75.598145,1.8810633,-0.002545678,Model_3
295.0486,305.1783,0.011131937,-0.004625403,414.88007,0.60553503,-69.26531,151.47693,0,75.003174,337.29727,470.32217,0.009859239,177.87627,577.47437,107.542114,310.41968,317.28702,306.9366,303.2502,63.048714,2.6333494,0.006506535,291.37744,296.9593,0,-0.002511472,176.86578,0.5107775,104.43894,14.799273,0,-0.36715466,330.1919,413.87253,0.00994477,34.848274,0,0,301.80933,298.1737,291.415,294.65616,75.77269,2.1737866,-0.002511472,Model_4
295.06525,305.23447,0.011217717,-0.004651542,416.44025,0.6065729,-70.31677,152.46805,0,75.5469,336.8326,470.62988,0.009847018,178.92973,581.9127,108.35986,310.49088,317.4115,307.0292,303.30463,62.911694,2.63749,0.006566176,291.35718,296.9388,0,-0.002518049,178.114,0.5114816,104.62567,14.736242,0,-0.38667226,329.73703,413.72757,0.009935656,34.79463,0,0,301.7863,298.14728,291.38412,294.6366,75.78632,2.1772132,-0.002518049,Model_5
295.0337,305.20636,0.011221757,-0.004652706,416.73816,0.60593957,-70.34416,152.53105,0,75.58318,336.611,470.45477,0.009814821,178.98697,582.1379,108.411644,310.46414,317.38776,306.9904,303.2726,62.842297,2.635547,0.00656905,291.33594,296.9252,0,-0.002523721,178.524,0.5130421,104.81451,14.727485,0,-0.4008827,329.38693,413.6077,0.009922492,34.820724,0,0,301.77768,298.13535,291.35834,294.6218,75.76787,2.1832092,-0.002523721,Model_6
295.4603,305.3551,0.011144699,-0.004651582,607.2189,0.642546,-69.14372,148.73026,0,77.66534,336.08246,470.6142,0.009341769,177.41513,578.15594,107.67834,310.46573,317.24088,306.94788,303.42926,58.808624,2.7999663,0.006493116,291.57703,297.17133,0,-0.002569638,264.69077,0.51926553,105.18959,13.532821,0,-0.19184408,328.24258,414.49875,0.009470423,33.319756,0,0,301.93167,298.25104,291.54364,294.92587,71.41741,2.2128456,-0.002569638,Model_7
295.5253,305.47733,0.011285073,-0.004698915,611.4556,0.6437974,-70.85935,150.12643,0,78.60196,335.2649,471.27127,0.009323211,179.01093,585.401,109.00514,310.6058,317.46432,307.12134,303.54926,58.42394,2.805413,0.006586158,291.57153,297.1654,0,-0.002582518,264.5577,0.5192048,105.482376,13.341839,0,-0.2151045,327.543,414.40143,0.009453053,33.12467,0,0,301.91754,298.22836,291.5186,294.924,71.29076,2.213115,-0.002582518,Model_8
295.4791,305.43567,0.011264125,-0.004690906,608.64734,0.6432061,-70.4451,150.13783,0,78.45873,335.34106,471.03183,0.009312714,178.97221,584.3461,108.82814,310.5735,317.4194,307.06808,303.50162,58.596607,2.8031483,0.006573219,291.5445,297.15387,0,-0.002579845,264.9115,0.52088845,105.60318,13.586552,0,-0.22269063,327.67303,414.32898,0.009458154,33.433014,0,0,301.92743,298.23624,291.50906,294.9047,71.47039,2.2197404,-0.002579845,Model_9
294.958,304.88174,0.011190788,-0.004593273,501.15634,0.6834276,-68.33567,155.54634,0,75.37735,335.4656,468.02518,0.009843756,182.92133,580.51324,108.100395,310.0645,316.8552,306.41873,302.88843,63.264572,2.966046,0.006597515,291.31155,296.8209,0,-0.002516302,191.07448,0.514893,103.39037,13.61347,0,-0.43742302,328.49936,413.0146,0.009816812,33.01397,0,0,301.51935,297.9302,291.19373,294.5539,75.03963,2.188467,-0.002516302,Model_10
294.99146,304.94913,0.011280055,-0.004622219,501.9813,0.6834015,-69.55206,156.34843,0,75.96201,334.90607,468.40054,0.009836006,183.78957,585.1321,108.95168,310.13992,316.98303,306.51755,302.95496,63.08374,2.9661596,0.006657836,291.3012,296.81174,0,-0.002524058,190.2786,0.51521415,103.57591,13.513258,0,-0.45438066,328.0466,412.91806,0.009811247,32.903614,0,0,301.5048,297.91132,291.1736,294.54712,75.02548,2.189791,-0.002524058,Model_11
294.95224,304.92535,0.011288394,-0.004623966,502.6381,0.68388826,-69.422585,156.75867,0,75.986404,334.7463,468.2368,0.009814714,184.19926,585.5871,109.04995,310.1291,316.97818,306.48642,302.9239,63.120167,2.9688437,0.006664429,291.2695,296.79263,0,-0.00252999,191.99065,0.5163094,103.85136,13.580713,0,-0.46952638,327.66324,412.75507,0.009800261,33.015293,0,0,301.49692,297.89774,291.13882,294.52332,75.06598,2.1939933,-0.00252999,Model_12
295.64212,305.0258,0.011273279,-0.004612875,893.00104,0.73610264,74.610596,192.89166,0,45.517967,334.77725,451.39987,0.009764178,184.70789,584.77234,114.75081,310.0918,316.85876,306.48956,298.50867,62.27268,3.4191887,0.006660404,290.64322,296.79187,0,-0.002520597,486.1423,0.54978496,-109.4198,17.889744,0,2.0333471,328.1429,414.9274,0.009929675,33.210052,0,0,301.45584,297.8809,291.2115,293.83307,83.31423,2.266861,-0.002520597,Model_13
295.66397,305.06033,0.011321196,-0.004627167,894.3047,0.7361643,75.37079,193.43468,0,45.69343,334.51376,451.57175,0.009755764,185.14247,587.2575,115.25333,310.12772,316.92313,306.54388,298.53467,62.15625,3.4193633,0.006694031,290.63394,296.78397,0,-0.002526827,485.61945,0.5496881,-109.55775,17.788187,0,2.044497,327.7753,414.8885,0.009922994,33.120808,0,0,301.44385,297.8654,291.19424,293.83655,83.322464,2.263615,-0.002526827,Model_14
295.63788,305.05792,0.011357593,-0.004640881,894.718,0.73649687,75.57464,194.31883,0,45.649593,334.04782,451.46396,0.009730555,185.80624,589.15466,115.61936,310.14154,316.9595,306.54025,298.51218,62.127403,3.42194,0.006716712,290.59183,296.75345,0,-0.002534074,487.1292,0.5515077,-109.94595,17.9147,0,2.0325832,327.27838,414.65164,0.009915869,33.293076,0,0,301.42838,297.84274,291.14853,293.79407,83.45915,2.272072,-0.002534074,Model_15
295.68628,305.2557,0.011162296,-0.00462701,432.1652,0.64690906,75.273766,190.11333,0,45.42174,336.9044,471.79913,0.009549425,178.87276,579.0379,113.61445,310.38696,317.21536,306.9192,303.27448,60.972507,3.117943,0.006535286,290.5841,296.8764,0,-0.002524248,194.9631,0.52553445,-111.03635,19.507544,0,2.0387483,329.13525,417.77356,0.009890413,35.074383,0,0,301.7219,298.0802,291.3442,294.54926,83.35673,2.2802708,-0.002524248,Model_16
295.716,305.3204,0.011264869,-0.004658497,434.0256,0.64801884,76.68212,191.47276,0,45.73203,336.2749,472.17218,0.009544039,180.03577,584.3543,114.677605,310.4652,317.35236,307.02094,303.33734,60.844154,3.1230757,0.006606371,290.57016,296.86392,0,-0.002530482,196.09329,0.52543855,-111.19695,19.435282,0,2.0315917,328.74585,417.68668,0.009891211,35.012764,0,0,301.70782,298.0618,291.32153,294.53696,83.43657,2.2798026,-0.002530482,Model_17
295.68942,305.30212,0.011281935,-0.004668299,434.29343,0.64883566,76.6649,191.98627,0,45.623333,335.77808,472.04333,0.009497913,180.35123,585.2491,114.83937,310.45276,317.35034,306.99286,303.31284,60.68617,3.1270158,0.006613636,290.54184,296.8425,0,-0.002536636,196.19156,0.52733034,-111.454414,19.456236,0,2.0333145,328.32733,417.5323,0.009873804,35.071453,0,0,301.69247,298.04248,291.28638,294.51205,83.42545,2.2847342,-0.002536636,Model_18
296.11264,305.50513,0.011196601,-0.004669563,647.7726,0.6784279,75.7477,187.32672,0,44.927338,335.63235,473.39264,0.009051119,178.08017,580.8423,114.00302,310.51328,317.26288,307.0278,303.4997,56.99844,3.2650747,0.006527037,290.91275,297.19193,0,-0.002593351,281.06635,0.5276327,-111.84712,17.671738,0,2.282783,327.21893,419.5475,0.009414769,33.08902,0,0,301.929,298.23193,291.5715,294.92343,78.079636,2.2418377,-0.002593351,Model_19
296.1784,305.6091,0.011311165,-0.004707885,651.1638,0.6797878,77.31925,188.63486,0,45.29875,334.97794,473.98608,0.009031683,179.32565,586.75055,115.16433,310.62802,317.44266,307.16898,303.6014,56.645283,3.2714417,0.006603279,290.90793,297.19,0,-0.002604447,280.77206,0.52844805,-112.12326,17.525759,0,2.2865586,326.64957,419.5219,0.009403572,32.972668,0,0,301.92303,298.21765,291.5554,294.92444,78.029945,2.242483,-0.002604447,Model_20
296.1441,305.58133,0.011309232,-0.004708124,649.1733,0.6798974,77.061066,189.06445,0,45.132164,334.82623,473.8121,0.009010036,179.50809,586.6818,115.15516,310.61124,317.42383,307.13544,303.56796,56.686222,3.2726529,0.006601109,290.88602,297.17596,0,-0.002603133,281.1574,0.52985406,-112.26305,17.729965,0,2.2875974,326.6732,419.41296,0.009400995,33.191586,0,0,301.92508,298.2178,291.5385,294.90292,78.08885,2.2499502,-0.002603133,Model_21
295.559,304.96475,0.011215815,-0.004588857,532.66956,0.7214873,74.24944,192.7362,0,45.050037,335.59628,469.78073,0.009573914,183.77208,581.8068,114.16273,310.05295,316.81213,306.4499,302.9257,61.53869,3.465481,0.006626958,290.59222,296.77423,0,-0.002517427,212.44002,0.5326595,-109.47503,18.16138,0,2.0566797,328.27936,417.44513,0.009772672,33.368305,0,0,301.46753,297.8836,291.1952,294.4923,82.37866,2.2865267,-0.002517427,Model_22
295.59076,305.01913,0.011294372,-0.004613265,533.355,0.72261024,75.38296,193.61896,0,45.327923,335.0923,470.09637,0.009569964,184.58394,585.87787,114.978745,310.11182,316.91577,306.5272,302.9797,61.40561,3.4707887,0.006681107,290.58,296.76355,0,-0.002528383,210.86873,0.53284097,-109.72689,17.997078,0,2.0526648,327.65305,417.36438,0.009770286,33.222595,0,0,301.45056,297.86002,291.16733,294.484,82.42912,2.2846391,-0.002528383,Model_23
295.56372,305.00394,0.011306661,-0.004616873,534.4715,0.72293675,75.30925,194.27667,0,45.231926,334.9246,469.9828,0.009537625,185.00143,586.5365,115.10199,310.1088,316.92136,306.50937,302.9581,61.327045,3.472891,0.006689789,290.5522,296.74484,0,-0.002530594,212.91858,0.53433007,-109.911316,18.094925,0,2.0581079,327.4502,417.22614,0.009748274,33.35578,0,0,301.44302,297.84866,291.1368,294.46036,82.37548,2.2919478,-0.002530594,Model_24
0.382817924,0.216630025,6.28013E-05,3.44095E-05,169.7781919,0.041377621,74.1002039,19.85170666,0,17.08002663,1.035415518,10.30534305,0.000289865,2.758261173,3.249518518,3.184014139,0.198101661,0.220983556,0.268158221,2.104898747,2.244989759,0.292309764,6.11055E-05,0.399954879,0.16124433,0,2.89976E-05,109.7360786,0.030408186,109.5898824,2.972714956,0,1.284017341,0.889742997,2.724444777,0.000201448,0.788774671,0,0,0.188405153,0.147917953,0.161179894,0.426063378,4.285174135,0.127219664,2.89976E-05,
,,,,,,,,,,,,,,,,,,,,,,2.557999569,,,,1.213896949,,,,,,,,,,,,,,,,,,,1.213896949,
